time_range, announc_as_counter, announc_as_counter_ip, num_path_dict_before, num_as_pairs, source_as_counter, prev_peer_as, prev_announc_as, path_presence
23:57:55-23:57:59,0,0,0,0,86,3333,50304,1
23:58:00-23:58:04,0,0,0,0,14,3333,50304,1
23:58:05-23:58:09,0,0,0,0,39,3333,50304,1
23:58:10-23:58:14,0,0,0,0,19,3333,50304,1
23:58:15-23:58:19,0,0,0,0,70,3333,50304,1
23:58:20-23:58:24,0,0,0,0,6,3333,50304,1
23:58:25-23:58:29,0,0,0,0,29,3333,50304,1
23:58:30-23:58:34,0,0,0,0,16,3333,50304,1
23:58:35-23:58:39,0,0,0,0,21,3333,50304,1
23:58:40-23:58:44,0,0,0,0,11,3333,50304,1
23:58:45-23:58:49,0,0,0,0,32,3333,50304,1
23:58:50-23:58:54,0,0,0,0,17,3333,50304,1
23:58:55-23:58:59,0,0,0,0,18,3333,50304,1
23:59:00-23:59:04,0,0,0,0,33,3333,50304,1
23:59:05-23:59:09,0,0,0,0,38,3333,50304,1
23:59:10-23:59:14,0,0,0,0,9,3333,50304,1
23:59:15-23:59:19,0,0,0,0,27,3333,50304,1
23:59:20-23:59:24,0,0,0,0,15,3333,50304,1
23:59:25-23:59:29,0,0,0,0,34,3333,50304,1
23:59:30-23:59:34,0,0,0,0,16,3333,50304,1
23:59:35-23:59:39,0,0,0,0,65,3333,50304,1
23:59:40-23:59:44,0,0,0,0,41,3333,50304,1
23:59:45-23:59:49,0,0,0,0,38,3333,50304,1
23:59:50-23:59:54,0,0,0,0,13,3333,50304,1
23:59:55-23:59:59,0,0,0,0,21,3333,50304,1
23:57:00-23:57:04,0,0,0,0,8,8218,34549,1
23:57:05-23:57:09,0,0,0,0,0,8218,34549,1
23:57:10-23:57:14,0,0,0,0,0,8218,34549,1
23:57:15-23:57:19,0,0,0,0,26,8218,34549,1
23:57:20-23:57:24,0,0,0,0,0,8218,34549,1
23:57:25-23:57:29,0,0,0,0,0,8218,34549,1
23:57:30-23:57:34,0,0,0,0,6,8218,34549,1
23:57:35-23:57:39,0,0,0,0,0,8218,34549,1
23:57:40-23:57:44,0,0,0,0,0,8218,34549,1
23:57:45-23:57:49,0,0,0,0,46,8218,34549,1
23:57:50-23:57:54,0,0,0,0,0,8218,34549,1
23:57:55-23:57:59,0,0,0,0,0,8218,34549,1
23:58:00-23:58:04,0,0,0,0,13,8218,34549,1
23:58:05-23:58:09,0,0,0,0,0,8218,34549,1
23:58:10-23:58:14,0,0,0,0,0,8218,34549,1
23:58:15-23:58:19,0,0,0,0,37,8218,34549,1
23:58:20-23:58:24,0,0,0,0,0,8218,34549,1
23:58:25-23:58:29,0,0,0,0,0,8218,34549,1
23:58:30-23:58:34,0,0,0,0,0,8218,34549,1
23:58:35-23:58:39,0,0,0,0,5,8218,34549,1
23:58:40-23:58:44,0,0,0,0,0,8218,34549,1
23:58:45-23:58:49,0,0,0,0,0,8218,34549,1
23:58:50-23:58:54,0,0,0,0,48,8218,34549,1
23:58:55-23:58:59,0,0,0,0,0,8218,34549,1
23:59:00-23:59:04,0,0,0,0,0,8218,34549,1
23:59:05-23:59:09,0,0,0,0,10,8218,34549,1
23:59:10-23:59:14,0,0,0,0,0,8218,34549,1
23:59:15-23:59:19,0,0,0,0,0,8218,34549,1
23:59:20-23:59:24,0,0,0,0,29,8218,34549,1
23:59:25-23:59:29,0,0,0,0,0,8218,34549,1
23:59:30-23:59:34,0,0,0,0,0,8218,34549,1
23:59:35-23:59:39,0,0,0,0,6,8218,34549,1
23:59:40-23:59:44,0,0,0,0,0,8218,34549,1
23:59:45-23:59:49,0,0,0,0,0,8218,34549,1
23:59:50-23:59:54,0,0,0,0,26,8218,34549,1
23:59:55-23:59:59,0,0,0,0,0,8218,34549,1
23:57:00-23:57:04,0,0,0,0,8,8218,50304,1
23:57:05-23:57:09,0,0,0,0,0,8218,50304,1
23:57:10-23:57:14,0,0,0,0,0,8218,50304,1
23:57:15-23:57:19,0,0,0,0,26,8218,50304,1
23:57:20-23:57:24,0,0,0,0,0,8218,50304,1
23:57:25-23:57:29,0,0,0,0,0,8218,50304,1
23:57:30-23:57:34,0,0,0,0,6,8218,50304,1
23:57:35-23:57:39,0,0,0,0,0,8218,50304,1
23:57:40-23:57:44,0,0,0,0,0,8218,50304,1
23:57:45-23:57:49,0,0,0,0,46,8218,50304,1
23:57:50-23:57:54,0,0,0,0,0,8218,50304,1
23:57:55-23:57:59,0,0,0,0,0,8218,50304,1
23:58:00-23:58:04,0,0,0,0,13,8218,50304,1
23:58:05-23:58:09,0,0,0,0,0,8218,50304,1
23:58:10-23:58:14,0,0,0,0,0,8218,50304,1
23:58:15-23:58:19,0,0,0,0,37,8218,50304,1
23:58:20-23:58:24,0,0,0,0,0,8218,50304,1
23:58:25-23:58:29,0,0,0,0,0,8218,50304,1
23:58:30-23:58:34,0,0,0,0,0,8218,50304,1
23:58:35-23:58:39,0,0,0,0,5,8218,50304,1
23:58:40-23:58:44,0,0,0,0,0,8218,50304,1
23:58:45-23:58:49,0,0,0,0,0,8218,50304,1
23:58:50-23:58:54,0,0,0,0,48,8218,50304,1
23:58:55-23:58:59,0,0,0,0,0,8218,50304,1
23:59:00-23:59:04,0,0,0,0,0,8218,50304,1
23:59:05-23:59:09,0,0,0,0,10,8218,50304,1
23:59:10-23:59:14,0,0,0,0,0,8218,50304,1
23:59:15-23:59:19,0,0,0,0,0,8218,50304,1
23:59:20-23:59:24,0,0,0,0,29,8218,50304,1
23:59:25-23:59:29,0,0,0,0,0,8218,50304,1
23:59:30-23:59:34,0,0,0,0,0,8218,50304,1
23:59:35-23:59:39,0,0,0,0,6,8218,50304,1
23:59:40-23:59:44,0,0,0,0,0,8218,50304,1
23:59:45-23:59:49,0,0,0,0,0,8218,50304,1
23:59:50-23:59:54,0,0,0,0,26,8218,50304,1
23:59:55-23:59:59,0,0,0,0,0,8218,50304,1
23:57:00-23:57:04,0,0,0,0,8,56730,50304,1
23:57:05-23:57:09,0,0,0,0,0,56730,50304,1
23:57:10-23:57:14,0,0,0,0,0,56730,50304,1
23:57:15-23:57:19,0,0,0,0,26,56730,50304,1
23:57:20-23:57:24,0,0,0,0,0,56730,50304,1
23:57:25-23:57:29,0,0,0,0,0,56730,50304,1
23:57:30-23:57:34,0,0,0,0,6,56730,50304,1
23:57:35-23:57:39,0,0,0,0,0,56730,50304,1
23:57:40-23:57:44,0,0,0,0,0,56730,50304,1
23:57:45-23:57:49,0,0,0,0,46,56730,50304,1
23:57:50-23:57:54,0,0,0,0,0,56730,50304,1
23:57:55-23:57:59,0,0,0,0,0,56730,50304,1
23:58:00-23:58:04,0,0,0,0,13,56730,50304,1
23:58:05-23:58:09,0,0,0,0,0,56730,50304,1
23:58:10-23:58:14,0,0,0,0,0,56730,50304,1
23:58:15-23:58:19,0,0,0,0,37,56730,50304,1
23:58:20-23:58:24,0,0,0,0,0,56730,50304,1
23:58:25-23:58:29,0,0,0,0,0,56730,50304,1
23:58:30-23:58:34,0,0,0,0,0,56730,50304,1
23:58:35-23:58:39,0,0,0,0,5,56730,50304,1
23:58:40-23:58:44,0,0,0,0,0,56730,50304,1
23:58:45-23:58:49,0,0,0,0,0,56730,50304,1
23:58:50-23:58:54,0,0,0,0,48,56730,50304,1
23:58:55-23:58:59,0,0,0,0,0,56730,50304,1
23:59:00-23:59:04,0,0,0,0,0,56730,50304,1
23:59:05-23:59:09,0,0,0,0,10,56730,50304,1
23:59:10-23:59:14,0,0,0,0,0,56730,50304,1
23:59:15-23:59:19,0,0,0,0,0,56730,50304,1
23:59:20-23:59:24,0,0,0,0,29,56730,50304,1
23:59:25-23:59:29,0,0,0,0,0,56730,50304,1
23:59:30-23:59:34,0,0,0,0,0,56730,50304,1
23:59:35-23:59:39,0,0,0,0,6,56730,50304,1
23:59:40-23:59:44,0,0,0,0,0,56730,50304,1
23:59:45-23:59:49,0,0,0,0,0,56730,50304,1
23:59:50-23:59:54,0,0,0,0,26,56730,50304,1
23:59:55-23:59:59,0,0,0,0,0,56730,50304,1
