time_range, announc_as_counter, announc_as_counter_ip, num_path_dict_before, num_as_pairs, source_as_counter, timestamp
23:55:55-23:55:59,0,0,18,0,43,3
23:56:00-23:56:04,0,0,12,0,40,3
23:56:05-23:56:09,0,0,20,0,49,3
23:56:10-23:56:14,0,0,25,0,62,3
23:56:15-23:56:19,0,0,17,0,80,3
23:56:20-23:56:24,0,0,19,0,67,3
23:56:25-23:56:29,0,0,22,0,69,3
23:56:30-23:56:34,0,0,27,0,57,3
23:56:35-23:56:39,0,0,14,0,40,3
23:56:40-23:56:44,0,0,19,0,73,3
23:56:45-23:56:49,0,0,22,0,56,3
23:56:50-23:56:54,0,0,13,0,41,3
23:56:55-23:56:59,0,0,16,0,42,3
23:57:00-23:57:04,0,0,26,0,64,3
23:57:05-23:57:09,0,0,23,0,46,3
23:57:10-23:57:14,0,0,23,0,52,3
23:57:15-23:57:19,0,0,18,0,62,3
23:57:20-23:57:24,0,0,27,0,68,3
23:57:25-23:57:29,0,0,21,0,59,3
23:57:30-23:57:34,0,0,24,0,75,3
23:57:35-23:57:39,0,0,13,0,46,3
23:57:40-23:57:44,0,0,24,0,62,3
23:57:45-23:57:49,0,0,29,0,96,3
23:57:50-23:57:54,0,0,31,0,78,3
23:57:55-23:57:59,0,0,32,0,126,3
23:58:00-23:58:04,0,0,24,0,72,3
23:58:05-23:58:09,0,0,23,0,72,3
23:58:10-23:58:14,0,0,38,0,83,3
23:58:15-23:58:19,0,0,20,0,40,3
23:58:20-23:58:24,0,0,19,0,40,3
23:58:25-23:58:29,0,0,23,0,53,3
23:58:30-23:58:34,0,0,17,0,60,3
23:58:35-23:58:39,0,0,28,0,82,3
23:58:40-23:58:44,0,0,18,0,101,3
23:58:45-23:58:49,0,0,16,0,33,3
23:58:50-23:58:54,0,0,48,0,111,3
23:58:55-23:58:59,0,0,21,0,55,3
23:59:00-23:59:04,0,0,25,0,64,3
23:59:05-23:59:09,0,0,22,0,56,3
23:59:10-23:59:14,0,0,9,0,30,3
23:59:15-23:59:19,0,0,49,0,106,3
23:59:20-23:59:24,0,0,22,0,75,3
23:59:25-23:59:29,0,0,19,0,59,3
23:59:30-23:59:34,0,0,8,0,41,3
23:59:35-23:59:39,0,0,17,0,48,3
23:59:40-23:59:44,0,0,20,0,48,3
23:59:45-23:59:49,0,0,27,0,66,3
23:59:50-23:59:54,0,0,13,0,34,3
23:59:55-23:59:59,0,0,15,0,55,3
23:55:00-23:55:04,0,0,0,0,0,2
23:55:05-23:55:09,0,0,0,0,0,2
23:55:10-23:55:14,0,0,0,0,18,2
23:55:15-23:55:19,0,0,0,0,0,2
23:55:20-23:55:24,0,0,0,0,0,2
23:55:25-23:55:29,0,0,0,0,6,2
23:55:30-23:55:34,0,0,0,0,0,2
23:55:35-23:55:39,0,0,0,0,0,2
23:55:40-23:55:44,0,0,0,0,0,2
23:55:45-23:55:49,0,0,0,0,14,2
23:55:50-23:55:54,0,0,0,0,0,2
23:55:55-23:55:59,0,0,0,0,16,2
23:56:00-23:56:04,0,0,0,0,0,2
23:56:05-23:56:09,0,0,0,0,0,2
23:56:10-23:56:14,0,0,0,0,0,2
23:56:15-23:56:19,0,0,0,0,18,2
23:56:20-23:56:24,0,0,0,0,0,2
23:56:25-23:56:29,0,0,0,0,26,2
23:56:30-23:56:34,0,0,0,0,0,2
23:56:35-23:56:39,0,0,0,0,0,2
23:56:40-23:56:44,0,0,0,0,0,2
23:56:45-23:56:49,0,0,0,0,10,2
23:56:50-23:56:54,0,0,0,0,0,2
23:56:55-23:56:59,0,0,0,0,0,2
23:57:00-23:57:04,0,0,0,0,15,2
23:57:05-23:57:09,0,0,0,0,0,2
23:57:10-23:57:14,0,0,0,0,0,2
23:57:15-23:57:19,0,0,0,0,16,2
23:57:20-23:57:24,0,0,0,0,0,2
23:57:25-23:57:29,0,0,0,0,0,2
23:57:30-23:57:34,0,0,0,0,29,2
23:57:35-23:57:39,0,0,0,0,0,2
23:57:40-23:57:44,0,0,0,0,0,2
23:57:45-23:57:49,0,0,0,0,90,2
23:57:50-23:57:54,0,0,0,0,0,2
23:57:55-23:57:59,0,0,0,0,0,2
23:58:00-23:58:04,0,0,0,0,20,2
23:58:05-23:58:09,0,0,0,0,0,2
23:58:10-23:58:14,0,0,0,0,0,2
23:58:15-23:58:19,0,0,0,0,0,2
23:58:20-23:58:24,0,0,0,0,14,2
23:58:25-23:58:29,0,0,0,0,0,2
23:58:30-23:58:34,0,0,0,0,16,2
23:58:35-23:58:39,0,0,0,0,0,2
23:58:40-23:58:44,0,0,0,0,0,2
23:58:45-23:58:49,0,0,0,0,0,2
23:58:50-23:58:54,0,0,0,0,6,2
23:58:55-23:58:59,0,0,0,0,0,2
23:59:00-23:59:04,0,0,0,0,36,2
23:59:05-23:59:09,0,0,0,0,0,2
23:59:10-23:59:14,0,0,0,0,0,2
23:59:15-23:59:19,0,0,0,0,0,2
23:59:20-23:59:24,0,0,0,0,14,2
23:59:25-23:59:29,0,0,0,0,0,2
23:59:30-23:59:34,0,0,0,0,0,2
23:59:35-23:59:39,0,0,0,0,11,2
23:59:40-23:59:44,0,0,0,0,0,2
23:59:45-23:59:49,0,0,0,0,0,2
23:59:50-23:59:54,0,0,0,0,12,2
23:59:55-23:59:59,0,0,0,0,0,2
23:55:00-23:55:04,0,0,0,0,4,23
23:55:05-23:55:09,0,0,0,0,11,23
23:55:10-23:55:14,0,0,0,0,14,23
23:55:15-23:55:19,0,0,0,0,15,23
23:55:20-23:55:24,0,0,0,0,3,23
23:55:25-23:55:29,0,0,0,0,3,23
23:55:30-23:55:34,0,0,0,0,10,23
23:55:35-23:55:39,0,0,0,0,15,23
23:55:40-23:55:44,0,0,0,0,4,23
23:55:45-23:55:49,0,0,0,0,7,23
23:55:50-23:55:54,0,0,0,0,5,23
23:55:55-23:55:59,0,0,0,0,19,23
23:56:00-23:56:04,0,0,0,0,10,23
23:56:05-23:56:09,0,0,0,0,6,23
23:56:10-23:56:14,0,0,0,0,9,23
23:56:15-23:56:19,0,0,0,0,10,23
23:56:20-23:56:24,0,0,0,0,27,23
23:56:25-23:56:29,0,0,0,0,27,23
23:56:30-23:56:34,0,0,0,0,8,23
23:56:35-23:56:39,0,0,0,0,8,23
23:56:40-23:56:44,0,0,0,0,12,23
23:56:45-23:56:49,0,0,0,0,32,23
23:56:50-23:56:54,0,0,0,0,17,23
23:56:55-23:56:59,0,0,0,0,14,23
23:57:00-23:57:04,0,0,0,0,5,23
23:57:05-23:57:09,0,0,0,0,9,23
23:57:10-23:57:14,0,0,0,0,13,23
23:57:15-23:57:19,0,0,0,0,6,23
23:57:20-23:57:24,0,0,0,0,2,23
23:57:25-23:57:29,0,0,0,0,6,23
23:57:30-23:57:34,0,0,0,0,24,23
23:57:35-23:57:39,0,0,0,0,0,23
23:57:40-23:57:44,0,0,0,0,10,23
23:57:45-23:57:49,0,0,0,0,14,23
23:57:50-23:57:54,0,0,0,0,20,23
23:57:55-23:57:59,0,0,0,0,5,23
23:58:00-23:58:04,0,0,0,0,91,23
23:58:05-23:58:09,0,0,0,0,19,23
23:58:10-23:58:14,0,0,0,0,17,23
23:58:15-23:58:19,0,0,0,0,13,23
23:58:20-23:58:24,0,0,0,0,4,23
